Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(hr),Rev On Bit (krev),Bit Diameter,TFA(in2),pit volume(bbl),PP(ppg),OVB(ppg)
1321.5,8.8,3.3,120,1940.7,2540,1021,10.30,10.08333333,61.9,17.50,1.1688,733.24,9.085,13.11
1322,8.4,1.9,121,1878.7,2585,1025,10.30,10.15,62.3,17.50,1.1688,767.35,9.08,13.11
1322.5,7.9,2.3,121,1940.9,2618,1023,10.30,10.2,62.7,17.50,1.1688,775.01,9.07,13.115
1323,8.8,3.4,121,2010.8,2623,1023,10.30,10.26666667,63.2,17.50,1.1688,779.81,9.06,13.12
1323.5,8.7,3.3,121,1993.6,2584,1024,10.30,10.31666667,63.6,17.50,1.1688,780.34,9.075,13.12
1324,9.2,3.4,121,2007.7,2549,1027,10.30,10.38333333,64,17.50,1.1688,763.61,9.09,13.12
1324.5,8.2,3.7,121,1977.6,2566,1026,10.30,10.43333333,64.4,17.50,1.1688,726.73,9.09,13.125
1325,8.8,3.9,121,2027.9,2597,1025,10.30,10.5,64.8,17.50,1.1688,716.96,9.09,13.13
1325.5,8.8,3.9,121,2063.2,2617,1024,10.30,10.55,65.3,17.50,1.1688,718.93,9.095,13.135
1326,9.2,3.9,121,2099.4,2628,1024,10.30,10.6,65.6,17.50,1.1688,718.38,9.1,13.14
1326.5,9.5,3.8,121,2087.1,2634,1023,10.30,10.66666667,66,17.50,1.1688,719.98,9.115,13.14
1327,8.8,3.6,121,2085.8,2638,1023,10.30,10.71666667,66.4,17.50,1.1688,714.87,9.13,13.14
1327.5,8.7,3.4,121,2110,2636,1024,10.30,10.76666667,66.9,17.50,1.1688,713.43,9.13,13.145
1328,8.5,3.8,121,2208.2,2634,1025,10.30,10.83333333,67.3,17.50,1.1688,712.56,9.13,13.15
1328.5,8.5,3.7,121,2148.5,2633,1024,10.30,10.88333333,67.7,17.50,1.1688,713.07,9.135,13.15
1329,8.8,3.5,121,2125.2,2632,1024,10.30,10.95,68.1,17.50,1.1688,717.48,9.14,13.15
1329.5,8.6,3.1,121,2061.9,2636,1023,10.30,11,68.5,17.50,1.1688,718.46,9.15,13.15
1330,8.2,3.1,121,2058.2,2632,1024,10.30,11.06666667,69,17.50,1.1688,717.29,9.16,13.15
1330.5,7.9,2.7,121,2009.5,2591,1026,10.30,11.13333333,69.5,17.50,1.1688,720.46,9.165,13.155
1331,6.5,1.9,121,1915.7,2537,1028,10.30,11.21666667,70,17.50,1.1688,719.52,9.17,13.16
1331.5,6.6,1.7,121,1919,2510,1029,10.30,11.28333333,70.6,17.50,1.1688,718.89,9.195,13.16
1332,6.9,2.1,121,1969.4,2461,1031,10.30,11.35,71.1,17.50,1.1688,715.49,9.22,13.16
1332.5,7.1,3.3,121,1994.9,2402,1034,10.30,11.43333333,71.6,17.50,1.1688,713.94,9.22,13.165
1333,8,4.1,121,2092.4,2372,1034,10.30,11.48333333,72.1,17.50,1.1688,713.85,9.22,13.17
1333.5,8.8,4.9,121,2176.1,2358,1034,10.30,11.55,72.5,17.50,1.1688,711.97,9.22,13.175
1334,8.6,5,121,2178.1,2355,1034,10.30,11.6,72.9,17.50,1.1688,712.05,9.22,13.18
1334.5,8.7,5.2,121,2172.3,2357,1034,10.30,11.66666667,73.4,17.50,1.1688,711.27,9.225,13.18
1335,8.1,5.1,121,2175.9,2359,1034,10.30,11.73333333,73.8,17.50,1.1688,709.84,9.23,13.18
1335.5,9,5.3,121,2202.4,2361,1034,10.30,11.78333333,74.2,17.50,1.1688,709.99,9.235,13.18
1336,8.5,5.2,121,2129.9,2354,1033,10.30,11.85,74.6,17.50,1.1688,709.72,9.24,13.18
1336.5,9.1,5.3,121,2116.2,2355,1034,10.30,11.9,75,17.50,1.1688,708.91,9.245,13.185
1337,10.1,5.4,121,2137.8,2360,1034,10.30,11.95,75.4,17.50,1.1688,708.74,9.25,13.19
1337.5,10.2,5.5,121,2127.3,2363,1034,10.30,12,75.8,17.50,1.1688,708.31,9.255,13.19
1338,10.4,5.6,121,2159.6,2366,1034,10.30,12.03333333,76.1,17.50,1.1688,706.92,9.26,13.19
1338.5,10.7,5.8,121,2185.4,2366,1034,10.30,12.08333333,76.5,17.50,1.1688,701.63,9.26,13.195
1339,10.8,5.7,121,2164.8,2371,1035,10.30,12.13333333,76.8,17.50,1.1688,680.61,9.26,13.2
1339.5,10.2,5.5,121,2130.1,2399,1035,10.30,12.18333333,77.2,17.50,1.1688,664.1,9.27,13.2
1340,10.2,5.3,121,2139.1,2420,1035,10.30,12.23333333,77.5,17.50,1.1688,686.3,9.28,13.2
1340.5,9.8,5,121,2121.2,2459,1033,10.30,12.28333333,77.9,17.50,1.1688,701.74,9.295,13.205
1341,10.8,5.4,121,2168.4,2427,1035,10.30,12.33333333,78.2,17.50,1.1688,705.62,9.31,13.21
1341.5,11.4,5.7,121,2193.6,2395,1036,10.30,12.36666667,78.5,17.50,1.1688,706.87,9.315,13.21
1342,12,6.2,121,2244,2371,1035,10.30,12.41666667,78.8,17.50,1.1688,708.47,9.32,13.21
1342.5,10.9,5.7,121,2192.3,2352,1033,10.30,12.46666667,79.2,17.50,1.1688,706.56,9.325,13.215
1343,10.3,5.4,121,2164.8,2336,1032,10.30,12.51666667,79.5,17.50,1.1688,707.17,9.33,13.22
1343.5,8.1,4.5,121,2051.4,2327,1031,10.30,12.58333333,80,17.50,1.1688,708.33,9.34,13.22
1344,7.7,4.1,121,2023.7,2323,1031,10.30,12.63333333,80.5,17.50,1.1688,708.67,9.35,13.22
1344.5,8.1,4,121,2041.3,2329,1031,10.30,12.7,80.9,17.50,1.1688,710.07,9.345,13.225
1345,8.7,4,121,2052.5,2323,1031,10.30,12.76666667,81.3,17.50,1.1688,710.3,9.34,13.23
1345.5,9.5,4.3,121,2081.6,2318,1031,10.30,12.81666667,81.7,17.50,1.1688,711.32,9.34,13.23
1346,10.7,5,121,2144.5,2312,1030,10.30,12.86666667,82.1,17.50,1.1688,710.64,9.34,13.23
1346.5,10.4,5.3,121,2163.8,2323,1030,10.30,12.91666667,82.4,17.50,1.1688,709.7,9.345,13.235
1347,10.6,5.2,121,2176.8,2323,1030,10.30,12.95,82.8,17.50,1.1688,709.81,9.35,13.24
1347.5,10.3,5,121,2145.8,2327,1030,10.30,13,83.1,17.50,1.1688,708.57,9.355,13.24
1348,10.4,5,121,2162.7,2344,1032,10.30,13.05,83.5,17.50,1.1688,706.14,9.36,13.24
1348.5,10.3,4.7,121,2146.9,2372,1034,10.30,13.1,83.8,17.50,1.1688,705.32,9.365,13.245
1349,9.9,4.1,121,2106.5,2394,1036,10.30,13.15,84.2,17.50,1.1688,703.98,9.37,13.25
1349.5,9.6,3.9,121,2080.5,2396,1035,10.30,13.2,84.6,17.50,1.1688,702.5,9.365,13.25
1350,9.5,4,121,2055.4,2396,1033,10.30,13.26666667,85,17.50,1.1688,696.78,9.36,13.25
1350.5,9.2,4.3,120,1943,2420,1024,10.30,13.31666667,85.4,17.50,1.1688,673.75,9.36,13.255
1351,8.5,5.6,119,2009.2,2412,1017,10.30,13.36666667,85.8,17.50,1.1688,673.62,9.36,13.26
1351.5,8.1,6.2,119,2019.2,2407,1016,10.30,13.43333333,86.2,17.50,1.1688,674.7,9.355,13.26
1352,7.4,6.3,119,2010.3,2408,1016,10.30,13.5,86.7,17.50,1.1688,674.68,9.35,13.26
1352.5,4.7,6.3,119,2007.8,2410,1016,10.30,13.6,87.4,17.50,1.1688,672.15,9.36,13.265
1353,8.4,6.6,119,2033.4,2394,1016,10.30,13.66666667,87.9,17.50,1.1688,673.3,9.37,13.27
1353.5,9.5,6.8,119,2048.3,2389,1015,10.30,13.71666667,88.3,17.50,1.1688,671.49,9.36,13.27
1354,10.3,7,119,2084.3,2388,1017,10.30,13.78333333,88.7,17.50,1.1688,669.86,9.35,13.27
1354.5,12.1,7.8,119,2164.4,2400,1016,10.30,13.81666667,89,17.50,1.1688,669.2,9.35,13.275
1355,11.6,7.5,119,2131.5,2405,1016,10.30,13.86666667,89.3,17.50,1.1688,668.18,9.35,13.28
1355.5,10.9,7.8,119,2154.5,2405,1015,10.30,13.91666667,89.6,17.50,1.1688,666.43,9.355,13.28
1356,10.8,7.6,119,2154.8,2386,1016,10.30,13.96666667,90,17.50,1.1688,665.85,9.36,13.28
1356.5,8.7,6.8,119,2052.7,2380,1016,10.30,14.01666667,90.4,17.50,1.1688,667.55,9.365,13.285
1357,7.9,6.5,119,2028.5,2387,1016,10.30,14.08333333,90.8,17.50,1.1688,673.15,9.37,13.29
1357.5,7.7,7,119,2068.7,2416,1015,10.30,14.15,91.3,17.50,1.1688,703.53,9.375,13.29
1358,8.5,6.5,119,2067.8,2467,1012,10.30,14.2,91.7,17.50,1.1688,721.16,9.38,13.29
1358.5,8.5,6.3,119,2035.4,2486,1010,10.30,14.26666667,92.2,17.50,1.1688,725.83,9.38,13.295
1359,8,6.3,119,2014.9,2472,1011,10.30,14.33333333,92.6,17.50,1.1688,727.66,9.38,13.3
1359.5,8,6.2,119,2019.7,2468,1011,10.30,14.38333333,93.1,17.50,1.1688,729.67,9.37,13.3
1360,8.1,6.4,119,2036.6,2470,1012,10.30,14.45,93.5,17.50,1.1688,729.62,9.36,13.3
1360.5,9.1,6.9,119,2091.6,2459,1013,10.30,14.5,93.9,17.50,1.1688,725.6,9.37,13.305
1361,9.5,7.4,119,2152.3,2447,1014,10.30,14.56666667,94.3,17.50,1.1688,724.12,9.38,13.31
1361.5,9.9,7.8,119,2223.1,2453,1014,10.30,14.6,94.6,17.50,1.1688,724.04,9.375,13.31
1362,8.6,7.9,119,2207.9,2464,1013,10.30,14.66666667,95.1,17.50,1.1688,725.2,9.37,13.31
1362.5,7.9,7.5,119,2084.4,2477,1012,10.30,14.73333333,95.5,17.50,1.1688,724.97,9.38,13.315
1363,7.9,7.9,119,2089.9,2480,1012,10.30,14.8,95.9,17.50,1.1688,724.92,9.39,13.32
1363.5,8,8,119,2096.2,2479,1012,10.30,14.86666667,96.4,17.50,1.1688,725.11,9.385,13.32
1364,8.1,8.4,119,2111.4,2479,1013,10.30,14.91666667,96.8,17.50,1.1688,724.58,9.38,13.32
1364.5,9,8.7,119,2142,2463,1013,10.30,14.98333333,97.3,17.50,1.1688,723.24,9.39,13.325
1365,8.2,7.7,119,2070.7,2448,1014,10.30,15.03333333,97.7,17.50,1.1688,720.59,9.4,13.33
1365.5,8.7,5.8,119,2089.2,2432,1015,10.30,15.1,98.1,17.50,1.1688,719.43,9.405,13.33
1366,8.9,5.5,119,2122.2,2410,1016,10.30,15.15,98.5,17.50,1.1688,719.15,9.41,13.33
1366.5,8.7,5.6,119,2124.7,2394,1017,10.30,15.2,98.9,17.50,1.1688,720.1,9.405,13.335
1367,8.9,6.4,119,2201.6,2389,1017,10.30,15.26666667,99.3,17.50,1.1688,719.96,9.4,13.34
1367.5,8.1,7.4,119,2241.6,2387,1017,10.30,15.31666667,99.8,17.50,1.1688,720.37,9.4,13.34
1368,7,8,119,2292.9,2363,1016,10.30,15.4,100.3,17.50,1.1688,719.86,9.4,13.34
1368.5,8.2,5.6,119,2205.6,2344,1016,10.30,15.46666667,100.8,17.50,1.1688,718.42,9.405,13.345
1369,11.5,5.9,119,2297.1,2345,1016,10.30,15.5,101.1,17.50,1.1688,718.14,9.41,13.35
1369.5,11.5,5.7,119,2268.2,2364,1017,10.30,15.55,101.4,17.50,1.1688,718.55,9.41,13.35
1370,11.6,5.8,119,2279.4,2386,1016,10.30,15.6,101.7,17.50,1.1688,716.4,9.41,13.35
1370.5,11.4,5.8,119,2305.8,2415,1015,10.30,15.63333333,102,17.50,1.1688,715.96,9.41,13.355
1371,11.7,6,119,2298.9,2428,1015,10.30,15.68333333,102.3,17.50,1.1688,716.58,9.41,13.36
1371.5,11.1,5.8,119,2265,2434,1014,10.30,15.73333333,102.6,17.50,1.1688,715.79,9.41,13.36
1372,11,6,119,2329.2,2442,1014,10.30,15.76666667,103,17.50,1.1688,714.72,9.41,13.36
1372.5,11.1,6.5,119,2344.7,2447,1014,10.30,15.81666667,103.3,17.50,1.1688,714.62,9.415,13.365
1373,12.2,7.4,119,2405.9,2433,1015,10.30,15.86666667,103.6,17.50,1.1688,715.4,9.42,13.37
1373.5,11.5,7.3,119,2332.8,2437,1015,10.30,15.9,103.9,17.50,1.1688,716.42,9.425,13.37
1374,11.6,7.5,119,2377,2436,1015,10.30,15.95,104.2,17.50,1.1688,714.72,9.43,13.37
1374.5,13.3,8.1,119,2465.2,2433,1015,10.30,15.98333333,104.5,17.50,1.1688,713.66,9.405,13.375
1375,13.1,8,119,2440.1,2441,1015,10.30,16.01666667,104.8,17.50,1.1688,714.49,9.38,13.38
1375.5,12,7.4,119,2370.3,2441,1015,10.30,16.06666667,105.1,17.50,1.1688,715.02,9.4,13.38
1376,11.5,6.5,119,2253.6,2438,1015,10.30,16.1,105.4,17.50,1.1688,716.78,9.42,13.38
1376.5,10.9,6.3,119,2289.8,2444,1015,10.30,16.15,105.7,17.50,1.1688,713.79,9.435,13.385
1377,10.2,5.5,119,2187.8,2447,1015,10.30,16.2,106,17.50,1.1688,714.38,9.45,13.39
1377.5,9.7,5.4,119,2169.9,2454,1015,10.30,16.25,106.4,17.50,1.1688,713.82,9.455,13.39
1378,9.6,5.3,119,2204.7,2462,1014,10.30,16.3,106.8,17.50,1.1688,715.12,9.46,13.39
1378.5,9.5,5.2,119,2154.6,2492,1014,10.30,16.36666667,107.2,17.50,1.1688,705.56,9.46,13.395
1379,12.8,6.4,119,2439.1,2518,1015,10.30,16.4,107.5,17.50,1.1688,697.6,9.46,13.4
1379.5,13.4,6.7,119,2529,2504,1016,10.30,16.43333333,107.7,17.50,1.1688,697.42,9.45,13.4
1380,13.3,7.2,119,2640.9,2491,1017,10.30,16.48333333,108,17.50,1.1688,700.11,9.44,13.4
1380.5,12.5,7.1,119,2601.9,2489,1018,10.30,16.51666667,108.3,17.50,1.1688,701.78,9.445,13.405
1381,8.3,5.8,119,2321.9,2484,1018,10.40,16.58333333,108.8,17.50,1.1688,702.23,9.45,13.41
1381.5,9.8,5.6,119,2341.6,2481,1018,10.40,16.63333333,109.2,17.50,1.1688,702.85,9.465,13.41
1382,9.8,5.9,119,2383.2,2483,1018,10.40,16.68333333,109.5,17.50,1.1688,703.12,9.48,13.41
1382.5,11.3,6,119,2372.9,2481,1018,10.40,16.73333333,109.8,17.50,1.1688,701.99,9.48,13.415
1383,12.8,6.4,119,2457.4,2478,1019,10.40,16.76666667,110.1,17.50,1.1688,700.58,9.48,13.42
1383.5,12.8,6.2,119,2433.9,2477,1019,10.40,16.81666667,110.4,17.50,1.1688,701.36,9.49,13.42
1384,12,6.3,119,2377,2484,1019,10.40,16.85,110.7,17.50,1.1688,698.63,9.5,13.42
1384.5,11.3,6.1,119,2374,2481,1019,10.40,16.9,111,17.50,1.1688,697.39,9.515,13.425
1385,10.1,6,119,2345.6,2481,1019,10.40,16.95,111.4,17.50,1.1688,694.95,9.53,13.43
1385.5,10,5.8,119,2321,2484,1018,10.40,17,111.7,17.50,1.1688,688.75,9.54,13.43
1386,10.3,6.4,119,2366.5,2490,1017,10.40,17.05,112.1,17.50,1.1688,695.82,9.55,13.43
1386.5,8.2,7.6,120,2220.5,2530,1012,10.40,17.11666667,112.5,17.50,1.1688,693.68,9.55,13.435
1387,9.3,8.8,121,2262.1,2597,1008,10.40,17.16666667,113,17.50,1.1688,692.1,9.55,13.44
1387.5,10,9.4,120,2323,2623,1008,10.40,17.21666667,113.3,17.50,1.1688,692.28,9.55,13.44
1388,11,9.8,120,2337.8,2628,1008,10.40,17.26666667,113.6,17.50,1.1688,692.2,9.55,13.44
1388.5,11.1,10.2,120,2361.9,2622,1008,10.40,17.3,114,17.50,1.1688,689.73,9.56,13.445
1389,10.7,10.2,120,2331.6,2612,1008,10.40,17.35,114.3,17.50,1.1688,687.42,9.57,13.45
1389.5,10.5,10.4,120,2351.5,2613,1008,10.40,17.4,114.6,17.50,1.1688,687.92,9.565,13.45
1390,9.4,9.9,120,2306.3,2622,1008,10.40,17.45,115,17.50,1.1688,687.34,9.56,13.45
1390.5,9.2,8.7,120,2296.1,2622,1008,10.40,17.51666667,115.4,17.50,1.1688,685.83,9.55,13.45
1391,10.2,7.3,120,2378.3,2624,1008,10.40,17.56666667,115.8,17.50,1.1688,683.84,9.54,13.45
1391.5,9.1,6.7,120,2332.4,2623,1008,10.40,17.61666667,116.2,17.50,1.1688,681.45,9.575,13.455
1392,9,6,120,2246.2,2625,1008,10.40,17.66666667,116.6,17.50,1.1688,678.36,9.61,13.46
1392.5,9.2,5.9,120,2217.6,2624,1008,10.40,17.71666667,116.9,17.50,1.1688,675.56,9.625,13.465
1393,8.3,5.8,120,2145.4,2630,1007,10.40,17.78333333,117.4,17.50,1.1688,671.5,9.64,13.47
1393.5,8.6,5.7,120,2139.1,2637,1007,10.40,17.85,117.8,17.50,1.1688,670.78,9.625,13.47
1394,8.9,6.4,120,2222.4,2641,1007,10.40,17.9,118.2,17.50,1.1688,670.97,9.61,13.47
1394.5,8.4,6.8,120,2285.8,2657,1006,10.40,17.96666667,118.7,17.50,1.1688,670.61,9.575,13.475
1395,7.2,6.2,120,2168.4,2661,1006,10.40,18.03333333,119.2,17.50,1.1688,669.07,9.54,13.48
1395.5,5.1,5.3,120,2004.5,2663,1006,10.40,18.13333333,120,17.50,1.1688,668.6,9.555,13.48
1396,6.4,6.3,120,2098.3,2662,1006,10.40,18.21666667,120.5,17.50,1.1688,670.46,9.57,13.48
1396.5,7,6.5,120,2169.5,2663,1006,10.40,18.3,121.1,17.50,1.1688,673.74,9.55,13.48
1397,6.5,6,120,2094.5,2663,1006,10.40,18.36666667,121.6,17.50,1.1688,677.18,9.53,13.48
1397.5,6.8,6.3,120,2073.3,2669,1005,10.40,18.43333333,122.1,17.50,1.1688,678.67,9.515,13.485
1398,6.8,6.8,120,2068.7,2665,1005,10.40,18.51666667,122.7,17.50,1.1688,680.71,9.5,13.49
1398.5,7.6,7.7,120,2131.8,2658,1006,10.40,18.58333333,123.1,17.50,1.1688,682.31,9.48,13.49
1399,7.6,7.9,120,2138,2656,1005,10.40,18.65,123.6,17.50,1.1688,681.19,9.46,13.49
1399.5,8.1,6.4,120,2195.8,2658,1005,10.40,18.71666667,124.1,17.50,1.1688,681.26,9.46,13.495
1400,7.9,6.8,120,2169.3,2665,1005,10.40,18.78333333,124.5,17.50,1.1688,680.02,9.46,13.5
1400.5,7.6,7.5,120,2138,2666,1005,10.40,18.83333333,125,17.50,1.1688,679.14,9.45,13.505
1401,8.1,7.7,120,2111.3,2668,1005,10.40,18.9,125.4,17.50,1.1688,679.09,9.44,13.51
1401.5,9.1,7,120,2233.5,2660,1005,10.40,18.95,125.8,17.50,1.1688,679.7,9.465,13.51
1402,8.9,6.5,120,2234.5,2657,1006,10.40,19.01666667,126.2,17.50,1.1688,678.8,9.49,13.51
1402.5,9.5,7.3,120,2293.3,2659,1005,10.40,19.06666667,126.6,17.50,1.1688,678.19,9.485,13.515
1403,8.3,8,120,2228.1,2665,1005,10.40,19.13333333,127.1,17.50,1.1688,677.36,9.48,13.52
1403.5,8.3,9.1,120,2262.2,2668,1006,10.40,19.18333333,127.5,17.50,1.1688,677.54,9.455,13.52
1404,8.5,9.5,120,2270.1,2674,1006,10.40,19.25,127.9,17.50,1.1688,677.31,9.43,13.52
1404.5,8.8,9,120,2297.6,2682,1006,10.40,19.3,128.3,17.50,1.1688,679.27,9.42,13.52
1405,9.4,5.9,120,2369.9,2691,1006,10.40,19.35,128.7,17.50,1.1688,678.37,9.41,13.52
1405.5,9.7,5.8,120,2373.1,2698,1005,10.40,19.41666667,129.1,17.50,1.1688,678.32,9.39,13.525
1406,9.9,8.4,120,2352.2,2695,1005,10.40,19.46666667,129.5,17.50,1.1688,674.19,9.37,13.53
1406.5,9.6,8,120,2282.8,2696,1006,10.40,19.51666667,129.8,17.50,1.1688,669.75,9.365,13.53
1407,8.3,6.5,120,2160.9,2722,1008,10.40,19.56666667,130.3,17.50,1.1688,653.72,9.36,13.53
1407.5,9.3,3.5,120,2157.9,2803,1016,10.40,19.63333333,130.7,17.50,1.1688,649.8,9.355,13.535
1408,11.5,4.8,119,2237.7,2812,1017,10.40,19.66666667,131,17.50,1.1688,651.28,9.35,13.54
1408.5,11,5.7,119,2328.1,2812,1018,10.40,19.71666667,131.3,17.50,1.1688,651.99,9.34,13.545
1409,10.3,4.6,119,2229.4,2808,1018,10.40,19.76666667,131.7,17.50,1.1688,653,9.33,13.55
1409.5,10,3.7,119,2150.8,2807,1018,10.40,19.81666667,132,17.50,1.1688,656.51,9.325,13.55
1410,8,2.1,119,1979.2,2806,1018,10.40,19.88333333,132.5,17.50,1.1688,656.77,9.32,13.55
1410.5,10.6,3.5,119,2161.4,2797,1019,10.40,19.93333333,132.8,17.50,1.1688,657.73,9.315,13.555
1411,10.7,3.5,119,2184.8,2799,1019,10.40,19.98333333,133.2,17.50,1.1688,659.04,9.31,13.56
1411.5,10.8,2.4,119,2108.2,2799,1018,10.40,20.03333333,133.5,17.50,1.1688,660.22,9.3,13.56
1412,8.8,2.2,119,2087.9,2797,1018,10.40,20.08333333,134,17.50,1.1688,660.05,9.29,13.56
1412.5,10.8,3.2,119,2252.2,2796,1019,10.40,20.13333333,134.3,17.50,1.1688,659.86,9.28,13.565
1413,11,2.8,119,2209.1,2791,1019,10.40,20.18333333,134.6,17.50,1.1688,659.94,9.27,13.57
1413.5,10.2,3.4,119,2259.5,2761,1019,10.40,20.23333333,135,17.50,1.1688,660.92,9.29,13.57
1414,8.8,2.7,119,2217,2740,1020,10.40,20.28333333,135.4,17.50,1.1688,660.74,9.31,13.57
1414.5,9.1,3.1,119,2274.4,2734,1020,10.40,20.35,135.8,17.50,1.1688,661.19,9.31,13.575
1415,9,2.9,119,2229.7,2738,1020,10.40,20.4,136.2,17.50,1.1688,659.74,9.31,13.58
1415.5,8.9,2.9,119,2229.4,2743,1020,10.40,20.45,136.6,17.50,1.1688,659.3,9.3,13.58
1416,8,2.4,119,2182.5,2746,1020,10.40,20.51666667,137,17.50,1.1688,658.28,9.29,13.58
1416.5,8.2,2.4,119,2198.4,2743,1020,10.40,20.56666667,137.5,17.50,1.1688,658.12,9.295,13.585
1417,8.7,2.8,119,2253.2,2744,1020,10.40,20.63333333,137.9,17.50,1.1688,655.92,9.3,13.59
1417.5,9.6,2.9,119,2279.3,2748,1020,10.40,20.68333333,138.2,17.50,1.1688,653.81,9.305,13.59
1418,9.1,2.2,119,2234.7,2742,1020,10.40,20.75,138.7,17.50,1.1688,651.34,9.31,13.59
1418.5,7.1,1.3,119,2144.6,2741,1020,10.40,20.81666667,139.2,17.50,1.1688,653.01,9.31,13.595
1419,10.5,2.6,119,2316.1,2739,1020,10.40,20.86666667,139.6,17.50,1.1688,658.53,9.31,13.6
1419.5,10.9,3.1,120,2324.2,2745,1020,10.40,20.91666667,139.9,17.50,1.1688,665.25,9.315,13.6
1420,11.5,3.2,120,2282.6,2759,1019,10.40,20.96666667,140.2,17.50,1.1688,667.66,9.32,13.6
1420.5,10.7,3.2,120,2066,2786,1019,10.40,21.01666667,140.6,17.50,1.1688,674.68,9.32,13.6
1421,10.9,3.3,120,2385.2,2811,1018,10.40,21.05,140.9,17.50,1.1688,674.91,9.32,13.6
1421.5,10.9,4.1,120,2487.9,2825,1018,10.40,21.1,141.2,17.50,1.1688,678.14,9.32,13.605
1422,9.7,3.7,119,2375.1,2830,1018,10.40,21.15,141.6,17.50,1.1688,679.22,9.32,13.61
1422.5,10.3,3.7,119,2441.6,2826,1018,10.40,21.2,141.9,17.50,1.1688,682.28,9.295,13.61
1423,10.1,3.6,119,2548.8,2823,1018,10.50,21.25,142.3,17.50,1.1688,685.42,9.27,13.61
1423.5,9.3,3.3,119,2535.4,2822,1018,10.50,21.3,142.7,17.50,1.1688,685.5,9.265,13.615
1424,9.6,3.5,119,2507.2,2821,1018,10.50,21.36666667,143.1,17.50,1.1688,686.66,9.26,13.62
1424.5,9.3,4,119,2640.2,2821,1018,10.50,21.41666667,143.5,17.50,1.1688,685.82,9.255,13.62
1425,9,3.7,119,2618.7,2824,1018,10.50,21.46666667,143.9,17.50,1.1688,685.64,9.25,13.62
1425.5,9.7,3.4,119,2602.7,2819,1018,10.50,21.51666667,144.2,17.50,1.1688,683.74,9.235,13.625
1426,10,3.9,119,2643.5,2822,1018,10.50,21.56666667,144.6,17.50,1.1688,681.64,9.22,13.63
1426.5,9.5,4.1,119,2694.3,2819,1018,10.50,21.61666667,145,17.50,1.1688,679.65,9.225,13.63
1427,10.1,4.2,119,2683.1,2818,1018,10.50,21.66666667,145.3,17.50,1.1688,676.06,9.23,13.63
1427.5,9.9,3.8,119,2622.6,2816,1018,10.50,21.73333333,145.7,17.50,1.1688,677.06,9.255,13.635
1428,9.9,3.1,119,2542.8,2801,1018,10.50,21.78333333,146.1,17.50,1.1688,675.43,9.28,13.64
1428.5,9.3,2.7,119,2493.7,2789,1018,10.50,21.83333333,146.4,17.50,1.1688,675.73,9.27,13.64
1429,9.3,3,119,2439.7,2774,1018,10.50,21.88333333,146.8,17.50,1.1688,675.35,9.26,13.64
1429.5,9,3.4,119,2486.5,2776,1018,10.50,21.93333333,147.2,17.50,1.1688,674.66,9.26,13.645
1430,9.6,4.5,119,2619.1,2780,1018,10.50,21.98333333,147.6,17.50,1.1688,674.38,9.26,13.65
1430.5,10.6,6.7,119,2688.8,2781,1017,10.50,22.03333333,148,17.50,1.1688,674.15,9.245,13.65
1431,11.2,7.1,119,2741.2,2786,1018,10.50,22.08333333,148.3,17.50,1.1688,673.6,9.23,13.65
1431.5,11.1,6.5,119,2624.5,2787,1018,10.50,22.13333333,148.6,17.50,1.1688,673.66,9.235,13.655
1432,11.9,5.7,119,2546.7,2777,1018,10.50,22.16666667,148.9,17.50,1.1688,672.96,9.24,13.66
1432.5,11.3,5.2,119,2491.9,2783,1018,10.50,22.21666667,149.2,17.50,1.1688,671.66,9.24,13.66
1433,10.8,4.8,119,2438.8,2784,1017,10.50,22.26666667,149.5,17.50,1.1688,670.88,9.24,13.66
1433.5,10.1,4.8,119,2407.3,2787,1018,10.50,22.31666667,149.9,17.50,1.1688,669.85,9.28,13.665
1434,10,5.3,119,2421.4,2787,1019,10.50,22.36666667,150.3,17.50,1.1688,669.88,9.32,13.67
1434.5,10.4,5.1,119,2381.1,2790,1018,10.50,22.41666667,150.6,17.50,1.1688,668.95,9.36,13.67
1435,9,4.7,120,2311.3,2798,1018,10.50,22.46666667,151,17.50,1.1688,666.93,9.4,13.67
1435.5,8.4,5.4,120,2367.1,2800,1018,10.50,22.51666667,151.4,17.50,1.1688,662.31,9.405,13.675
1436,7.8,4.9,120,2234.4,2824,1014,10.50,22.58333333,151.9,17.50,1.1688,644.93,9.41,13.68
1436.5,9.2,5.2,119,2267.5,2864,1006,10.50,22.65,152.3,17.50,1.1688,662.26,9.365,13.68
1437,9.8,6.4,119,2391.1,2869,1004,10.50,22.7,152.7,17.50,1.1688,688.46,9.32,13.68
1437.5,9.7,6,119,2394.1,2842,1005,10.50,22.75,153,17.50,1.1688,693.5,9.385,13.685
1438,9.3,5.5,119,2345.9,2820,1005,10.50,22.8,153.5,17.50,1.1688,694.73,9.45,13.69
1438.5,5.8,5,119,2266.1,2807,1006,10.50,22.91666667,154.2,17.50,1.1688,699.94,9.465,13.69
1439,8,4.6,119,2234.7,2802,1006,10.50,22.96666667,154.7,17.50,1.1688,701.26,9.48,13.69
