Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(hr),Rev On Bit (krev),Bit Diameter,TFA(in2),pit volume(bbl),PP(ppg),OVB(ppg)
1233,11.5,2.9,100,2016.1,2364,1015,10.20,2.7,10.8,17.50,1.1688,730.32,9.45,12.63
1233.5,14.2,3.6,100,2190.5,2342,1015,10.20,2.733333333,11,17.50,1.1688,730.8,9.45,12.63
1234,15.6,4.5,100,2253.5,2345,1015,10.20,2.766666667,11.2,17.50,1.1688,729.57,9.45,12.63
1234.5,15.5,4.2,100,2240.5,2358,1015,10.20,2.8,11.4,17.50,1.1688,728.18,9.45,12.635
1235,14.5,4.5,100,2228,2364,1015,10.20,2.833333333,11.6,17.50,1.1688,727.03,9.45,12.64
1235.5,11.9,4,100,2197.1,2393,1017,10.20,2.866666667,11.9,17.50,1.1688,728.92,9.485,12.64
1236,10.7,4.7,100,2026.5,2515,1022,10.20,2.916666667,12.2,17.50,1.1688,728.87,9.52,12.64
1236.5,12.6,5.4,100,2272.7,2582,1026,10.20,2.966666667,12.4,17.50,1.1688,724.53,9.48,12.645
1237,15.1,3.7,100,2134.7,2555,1026,10.20,3,12.6,17.50,1.1688,721.67,9.44,12.65
1237.5,17.9,4.2,100,2210.6,2519,1025,10.20,3.016666667,12.8,17.50,1.1688,722.54,9.41,12.65
1238,17.9,4.7,100,2275.8,2474,1024,10.20,3.05,13,17.50,1.1688,717.85,9.38,12.65
1238.5,12.2,3,100,2035.2,2453,1024,10.20,3.1,13.2,17.50,1.1688,714.57,9.365,12.655
1239,14,2.6,100,2099.1,2459,1024,10.20,3.133333333,13.5,17.50,1.1688,713.65,9.35,12.66
1239.5,17.2,3.1,100,2196.5,2466,1024,10.20,3.166666667,13.6,17.50,1.1688,716.13,9.345,12.66
1240,17.2,3.3,100,2220.2,2475,1025,10.20,3.2,13.8,17.50,1.1688,720.5,9.34,12.66
1240.5,16,3.1,100,2198.8,2472,1024,10.20,3.216666667,14,17.50,1.1688,719.83,9.335,12.665
1241,15.8,3,100,2185,2504,1025,10.30,3.25,14.2,17.50,1.1688,720.63,9.33,12.67
1241.5,14.2,2.6,100,2136,2520,1026,10.30,3.283333333,14.4,17.50,1.1688,716.17,9.325,12.675
1242,14,3,100,2168.7,2491,1025,10.30,3.333333333,14.6,17.50,1.1688,713.47,9.32,12.68
1242.5,14.8,3.4,100,2189.7,2456,1024,10.30,3.366666667,14.8,17.50,1.1688,712.71,9.315,12.68
1243,14.9,3.8,100,2272.1,2427,1024,10.30,3.4,15,17.50,1.1688,717.41,9.31,12.68
1243.5,15.6,4,100,2326.6,2422,1023,10.30,3.433333333,15.2,17.50,1.1688,716.92,9.305,12.685
1244,14.6,3.7,100,2278.8,2408,1023,10.30,3.466666667,15.4,17.50,1.1688,714.09,9.3,12.69
1244.5,13.9,3.2,100,2226.3,2401,1023,10.30,3.5,15.6,17.50,1.1688,715.12,9.3,12.69
1245,14.7,3,100,2236.8,2411,1023,10.30,3.533333333,15.8,17.50,1.1688,716.85,9.3,12.69
1245.5,14.2,2.6,100,2183.8,2418,1023,10.30,3.566666667,16.1,17.50,1.1688,720.85,9.3,12.695
1246,14.6,2.5,100,2202,2425,1023,10.30,3.6,16.3,17.50,1.1688,722.21,9.3,12.7
1246.5,15.4,2.5,100,2223,2440,1024,10.30,3.633333333,16.5,17.50,1.1688,723.83,9.34,12.7
1247,15.6,2.2,100,2185,2457,1024,10.30,3.666666667,16.6,17.50,1.1688,722.56,9.38,12.7
1247.5,15.3,2,100,2149.4,2492,1025,10.30,3.7,16.8,17.50,1.1688,720.79,9.36,12.705
1248,14.4,1.9,100,2129.2,2524,1026,10.30,3.733333333,17.1,17.50,1.1688,716.01,9.34,12.71
1248.5,15,2.3,100,2170.7,2527,1026,10.30,3.766666667,17.3,17.50,1.1688,712.19,9.33,12.715
1249,14.3,2.8,100,2195.9,2518,1026,10.30,3.8,17.5,17.50,1.1688,709.66,9.32,12.72
1249.5,14.1,3.4,100,2316.5,2505,1026,10.30,3.833333333,17.7,17.50,1.1688,707.63,9.315,12.72
1250,15.2,3.7,100,2376.8,2498,1026,10.30,3.866666667,17.9,17.50,1.1688,709.24,9.31,12.72
1250.5,15,3,100,2240.9,2473,1025,10.30,3.9,18.1,17.50,1.1688,710.86,9.275,12.725
1251,15.6,2.8,100,2211.9,2480,1025,10.30,3.933333333,18.3,17.50,1.1688,711.39,9.24,12.73
1251.5,17.4,2.9,100,2205.1,2494,1025,10.30,3.966666667,18.4,17.50,1.1688,711.82,9.235,12.73
1252,15.7,2.8,100,2175.9,2491,1025,10.30,4,18.6,17.50,1.1688,711.44,9.23,12.73
1252.5,15.9,3.3,100,2260.2,2483,1025,10.30,4.033333333,18.8,17.50,1.1688,712.11,9.225,12.735
1253,17.2,3.3,100,2266.5,2472,1023,10.30,4.05,19,17.50,1.1688,713.54,9.22,12.74
1253.5,17.1,3.1,100,2179.5,2462,1025,10.30,4.083333333,19.2,17.50,1.1688,710.84,9.22,12.74
1254,18.2,3.6,100,2251.6,2437,1024,10.30,4.116666667,19.3,17.50,1.1688,709.68,9.22,12.74
1254.5,18.7,3.9,100,2324.6,2444,1024,10.30,4.133333333,19.5,17.50,1.1688,707.96,9.215,12.745
1255,18,4,100,2305,2428,1024,10.30,4.166666667,19.7,17.50,1.1688,706.28,9.21,12.75
1255.5,17.6,3.3,100,2194.4,2454,1024,10.30,4.2,19.8,17.50,1.1688,705.19,9.205,12.755
1256,17.3,3.3,101,2169.2,2465,1025,10.30,4.233333333,20,17.50,1.1688,706.53,9.2,12.76
1256.5,17.7,3.7,105,2263.6,2470,1025,10.30,4.25,20.2,17.50,1.1688,706.63,9.19,12.76
1257,20.8,4.5,116,2418.3,2468,1025,10.30,4.283333333,20.4,17.50,1.1688,701.09,9.18,12.76
1257.5,23.7,5.7,119,2605.8,2457,1025,10.30,4.3,20.5,17.50,1.1688,696.7,9.17,12.765
1258,23.3,5.2,119,2518.9,2464,1025,10.30,4.316666667,20.7,17.50,1.1688,696.31,9.16,12.77
1258.5,22.6,4.8,119,2450.6,2472,1026,10.30,4.35,20.8,17.50,1.1688,693.5,9.17,12.77
1259,21.7,4.6,119,2473.2,2483,1027,10.30,4.366666667,21,17.50,1.1688,695.09,9.18,12.77
1259.5,21,5.2,119,2570,2485,1028,10.30,4.383333333,21.2,17.50,1.1688,697.97,9.18,12.775
1260,20.8,5.9,119,2720,2480,1028,10.30,4.416666667,21.3,17.50,1.1688,695.36,9.18,12.78
1260.5,21.3,6.6,119,2817.5,2489,1028,10.30,4.433333333,21.5,17.50,1.1688,693.92,9.155,12.78
1261,21,6.6,119,2783.4,2497,1029,10.30,4.466666667,21.7,17.50,1.1688,690.51,9.13,12.78
1261.5,19.7,5.4,119,2607.7,2490,1028,10.30,4.483333333,21.8,17.50,1.1688,690.81,9.125,12.785
1262,20.7,4.9,119,2585.2,2488,1028,10.30,4.516666667,22,17.50,1.1688,690.11,9.12,12.79
1262.5,20.9,5,119,2652.7,2486,1028,10.30,4.533333333,22.2,17.50,1.1688,687.09,9.115,12.795
1263,20.4,4.9,119,2609.3,2483,1028,10.30,4.55,22.4,17.50,1.1688,688.33,9.11,12.8
1263.5,20.3,4.5,119,2562.8,2480,1028,10.30,4.583333333,22.6,17.50,1.1688,693.12,9.105,12.8
1264,19.9,4.5,119,2554.9,2475,1018,10.30,4.6,22.7,17.50,1.1688,696.55,9.1,12.8
1264.5,18.2,4.1,119,2460.3,2421,974,10.30,4.633333333,22.9,17.50,1.1688,691.76,9.095,12.805
1265,15.3,2.6,120,2139.1,2224,772,10.30,4.666666667,23.2,17.50,1.1688,678.52,9.09,12.81
1265.5,17.6,2.9,121,2423.4,1987,550,10.30,4.7,23.4,17.50,1.1688,675.88,9.08,12.81
1266,17.3,2.5,121,2520.4,1893,508,10.30,4.733333333,23.6,17.50,1.1688,677.04,9.07,12.81
1266.5,16,2.9,121,2493.8,1832,516,10.30,4.766666667,23.8,17.50,1.1688,677.44,9.095,12.815
1267,14.6,2.1,120,2368.9,1883,562,10.30,4.8,24.1,17.50,1.1688,676.35,9.12,12.82
1267.5,14.9,2.5,119,2199.2,2116,761,10.30,4.866666667,24.6,17.50,1.1688,675.53,9.09,12.82
1268,14.9,3.3,118,2276.1,2413,996,10.30,4.916666667,24.9,17.50,1.1688,676.99,9.06,12.82
1268.5,13.2,3.1,117,2250.9,2455,1039,10.30,4.95,25.2,17.50,1.1688,678.55,9.055,12.825
1269,11.9,2.5,117,2182.4,2446,1038,10.30,4.983333333,25.5,17.50,1.1688,680.95,9.05,12.83
1269.5,11.2,1.9,117,2067.8,2434,1037,10.30,5.033333333,25.8,17.50,1.1688,682.93,9.045,12.835
1270,11.2,1.4,117,1998,2412,1032,10.30,5.083333333,26.1,17.50,1.1688,685.53,9.04,12.84
1270.5,11.5,2.2,117,1984.6,2403,1031,10.30,5.133333333,26.4,17.50,1.1688,687.57,9.035,12.84
1271,11.9,3.3,117,2092.7,2401,1031,10.30,5.166666667,26.7,17.50,1.1688,687.92,9.03,12.84
1271.5,10.4,3,117,2098.8,2395,1031,10.30,5.216666667,27.1,17.50,1.1688,686.88,9.025,12.845
1272,10.4,2.8,117,2080.1,2378,1031,10.30,5.266666667,27.4,17.50,1.1688,685.49,9.02,12.85
1272.5,10.3,2.6,117,2060.8,2360,1031,10.30,5.316666667,27.7,17.50,1.1688,685.19,9.03,12.85
1273,10.6,2.4,117,2055.8,2333,1030,10.30,5.366666667,28.1,17.50,1.1688,683.46,9.04,12.85
1273.5,10.5,2,117,2049.8,2316,1030,10.30,5.4,28.4,17.50,1.1688,683.14,9.05,12.855
1274,10.7,2,117,2063.7,2303,1030,10.30,5.45,28.7,17.50,1.1688,681.7,9.06,12.86
1274.5,12.5,2.7,117,2144.8,2268,1029,10.30,5.5,29,17.50,1.1688,680.37,9.05,12.86
1275,12.5,2.8,118,2159.9,2257,1029,10.30,5.533333333,29.3,17.50,1.1688,678.55,9.04,12.86
1275.5,11.4,2.2,118,2097.8,2261,1029,10.30,5.583333333,29.6,17.50,1.1688,677.89,9.03,12.865
1276,10.4,2.5,118,2096.3,2299,1028,10.30,5.633333333,29.9,17.50,1.1688,673.45,9.02,12.87
1276.5,9.6,2.1,119,2077.8,2428,1025,10.30,5.683333333,30.3,17.50,1.1688,672.72,9.005,12.87
1277,11.1,2.8,119,2135.4,2445,1026,10.30,5.716666667,30.6,17.50,1.1688,673.11,8.99,12.87
1277.5,11.9,3.1,119,2146.4,2448,1025,10.30,5.766666667,31,17.50,1.1688,673.53,8.985,12.875
1278,11.2,3.1,119,2143,2448,1026,10.30,5.816666667,31.3,17.50,1.1688,671.83,8.98,12.88
1278.5,10.8,2.6,119,2119.6,2445,1025,10.30,5.85,31.6,17.50,1.1688,670.52,8.98,12.88
1279,11.1,2.6,119,2133.6,2442,1026,10.30,5.9,31.9,17.50,1.1688,669.45,8.98,12.88
1279.5,11.4,2.5,119,2132.7,2443,1025,10.30,5.95,32.2,17.50,1.1688,668.88,8.975,12.885
1280,12.2,2.5,119,2153.1,2458,1025,10.30,5.983333333,32.5,17.50,1.1688,667.47,8.97,12.89
1280.5,12.3,2.4,119,2160.7,2473,1024,10.30,6.033333333,32.8,17.50,1.1688,666.31,8.965,12.895
1281,11.6,2.3,119,2115.2,2464,1024,10.30,6.066666667,33.1,17.50,1.1688,666.53,8.96,12.9
1281.5,12.3,2.8,119,2161.8,2442,1025,10.30,6.116666667,33.4,17.50,1.1688,668.24,8.965,12.9
1282,11.6,3,119,2189.6,2438,1025,10.30,6.15,33.7,17.50,1.1688,667.09,8.97,12.9
1282.5,11.4,2.1,119,2107.8,2455,1025,10.30,6.2,34.1,17.50,1.1688,666.75,8.97,12.905
1283,11.1,2.2,119,2113.9,2477,1024,10.30,6.25,34.4,17.50,1.1688,666.97,8.97,12.91
1283.5,11.1,3.2,119,2117.1,2499,1023,10.30,6.3,34.7,17.50,1.1688,668.39,8.965,12.91
1284,11,3.7,119,2161,2501,1023,10.30,6.333333333,35,17.50,1.1688,671.59,8.96,12.91
1284.5,10.8,3.4,119,2178.8,2477,1023,10.30,6.383333333,35.4,17.50,1.1688,669.71,8.965,12.915
1285,10.8,3.6,119,2189.7,2506,1022,10.30,6.433333333,35.7,17.50,1.1688,669.77,8.97,12.92
1285.5,10.6,3.8,119,2193.2,2542,1021,10.30,6.466666667,36,17.50,1.1688,666.39,8.95,12.92
1286,10.5,3.9,119,2207.8,2571,1020,10.30,6.533333333,36.4,17.50,1.1688,666.68,8.93,12.92
1286.5,10.4,3.9,119,2187.7,2578,1020,10.30,6.566666667,36.7,17.50,1.1688,663.61,8.925,12.925
1287,10.3,4.1,119,2212.1,2583,1019,10.30,6.616666667,37.1,17.50,1.1688,661.98,8.92,12.93
1287.5,10.6,4.2,119,2261.7,2587,1019,10.30,6.666666667,37.4,17.50,1.1688,659.77,8.915,12.93
1288,8.4,3.4,119,2124.9,2583,1018,10.30,6.733333333,37.8,17.50,1.1688,660.68,8.91,12.93
1288.5,8.8,3.6,119,2175.9,2583,1019,10.30,6.783333333,38.3,17.50,1.1688,660.2,8.91,12.935
1289,8.7,3.3,119,2100.3,2581,1019,10.30,6.85,38.6,17.50,1.1688,657.88,8.91,12.94
1289.5,8.8,3.3,119,2094.4,2570,1020,10.30,6.9,39.1,17.50,1.1688,657.79,8.905,12.94
1290,8,2.9,119,2058.3,2534,1021,10.30,6.966666667,39.5,17.50,1.1688,659.61,8.9,12.94
1290.5,8.3,2.7,119,2013,2515,1021,10.30,7.033333333,40,17.50,1.1688,659.86,8.9,12.945
1291,8.8,2.8,119,2079.8,2514,1021,10.30,7.083333333,40.4,17.50,1.1688,659.23,8.9,12.95
1291.5,8.8,2.7,119,2095.3,2516,1021,10.30,7.133333333,40.7,17.50,1.1688,656.62,8.895,12.955
1292,8.5,2.5,119,2075.4,2508,1021,10.30,7.2,41.2,17.50,1.1688,656.89,8.89,12.96
1292.5,8.4,2.6,119,2061.2,2500,1021,10.30,7.25,41.6,17.50,1.1688,656.89,8.885,12.96
1293,7.7,2.2,119,1945.3,2496,1021,10.30,7.333333333,42.1,17.50,1.1688,653.87,8.88,12.96
1293.5,12.7,3.7,119,1928.3,2524,1020,10.30,7.383333333,42.5,17.50,1.1688,642.88,8.88,12.965
1294,15.3,6,119,2270.6,2540,1019,10.30,7.4,42.7,17.50,1.1688,645.6,8.88,12.97
1294.5,17.8,7.2,119,2456.3,2530,1019,10.30,7.433333333,42.9,17.50,1.1688,649.27,8.88,12.97
1295,19.5,8.1,119,2613.1,2526,1019,10.30,7.466666667,43.1,17.50,1.1688,649.78,8.88,12.97
1295.5,16.1,8,119,2530,2515,1020,10.30,7.5,43.4,17.50,1.1688,652.21,8.875,12.975
1296,8.4,6.7,119,2315.5,2493,1021,10.30,7.583333333,43.9,17.50,1.1688,656.54,8.87,12.98
1296.5,11.3,6,119,2213.7,2454,1023,10.30,7.633333333,44.2,17.50,1.1688,655.29,8.865,12.98
1297,13.1,6.2,119,2294.4,2466,1023,10.30,7.666666667,44.5,17.50,1.1688,653.94,8.86,12.98
1297.5,13.3,6.3,119,2318,2470,1022,10.30,7.7,44.8,17.50,1.1688,654.46,8.855,12.985
1298,12.3,6,119,2324.3,2497,1021,10.30,7.75,45.1,17.50,1.1688,664.1,8.85,12.99
1298.5,11.8,5.6,119,2300.6,2526,1020,10.30,7.783333333,45.4,17.50,1.1688,708.92,8.85,12.99
1299,11.7,5.7,119,2234.4,2550,1018,10.30,7.833333333,45.7,17.50,1.1688,741.2,8.85,12.99
1299.5,10.9,4.9,119,2161.1,2557,1017,10.30,7.866666667,46,17.50,1.1688,745.12,8.875,12.995
1300,10.7,4.5,119,2145.6,2530,1018,10.30,7.916666667,46.4,17.50,1.1688,752.18,8.9,13
