Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1352.5,4.7,6.3,119,2007.8,2410,1016,10.30,816,87.4,17.50,78,672.15
1353,8.4,6.6,119,2033.4,2394,1016,10.30,820,87.9,17.50,78,673.3
1353.5,9.5,6.8,119,2048.3,2389,1015,10.30,823,88.3,17.50,78,671.49
1354,10.3,7,119,2084.3,2388,1017,10.30,827,88.7,17.50,78,669.86
1354.5,12.1,7.8,119,2164.4,2400,1016,10.30,829,89,17.50,78,669.2
1355,11.6,7.5,119,2131.5,2405,1016,10.30,832,89.3,17.50,78,668.18
1355.5,10.9,7.8,119,2154.5,2405,1015,10.30,835,89.6,17.50,78,666.43
1356,10.8,7.6,119,2154.8,2386,1016,10.30,838,90,17.50,78,665.85
1356.5,8.7,6.8,119,2052.7,2380,1016,10.30,841,90.4,17.50,78,667.55
1357,7.9,6.5,119,2028.5,2387,1016,10.30,845,90.8,17.50,78,673.15
1357.5,7.7,7,119,2068.7,2416,1015,10.30,849,91.3,17.50,78,703.53
1358,8.5,6.5,119,2067.8,2467,1012,10.30,852,91.7,17.50,78,721.16
1358.5,8.5,6.3,119,2035.4,2486,1010,10.30,856,92.2,17.50,78,725.83
1359,8,6.3,119,2014.9,2472,1011,10.30,860,92.6,17.50,78,727.66
1359.5,8,6.2,119,2019.7,2468,1011,10.30,863,93.1,17.50,78,729.67
1360,8.1,6.4,119,2036.6,2470,1012,10.30,867,93.5,17.50,78,729.62
1360.5,9.1,6.9,119,2091.6,2459,1013,10.30,870,93.9,17.50,78,725.6
1361,9.5,7.4,119,2152.3,2447,1014,10.30,874,94.3,17.50,78,724.12
1361.5,9.9,7.8,119,2223.1,2453,1014,10.30,876,94.6,17.50,78,724.04
1362,8.6,7.9,119,2207.9,2464,1013,10.30,880,95.1,17.50,78,725.2
1362.5,7.9,7.5,119,2084.4,2477,1012,10.30,884,95.5,17.50,78,724.97
1363,7.9,7.9,119,2089.9,2480,1012,10.30,888,95.9,17.50,78,724.92
1363.5,8,8,119,2096.2,2479,1012,10.30,892,96.4,17.50,78,725.11
1364,8.1,8.4,119,2111.4,2479,1013,10.30,895,96.8,17.50,78,724.58
1364.5,9,8.7,119,2142,2463,1013,10.30,899,97.3,17.50,78,723.24
1365,8.2,7.7,119,2070.7,2448,1014,10.30,902,97.7,17.50,78,720.59
1365.5,8.7,5.8,119,2089.2,2432,1015,10.30,906,98.1,17.50,78,719.43
1366,8.9,5.5,119,2122.2,2410,1016,10.30,909,98.5,17.50,78,719.15
1366.5,8.7,5.6,119,2124.7,2394,1017,10.30,912,98.9,17.50,78,720.1
1367,8.9,6.4,119,2201.6,2389,1017,10.30,916,99.3,17.50,78,719.96
1367.5,8.1,7.4,119,2241.6,2387,1017,10.30,919,99.8,17.50,78,720.37
1368,7,8,119,2292.9,2363,1016,10.30,924,100.3,17.50,78,719.86
1368.5,8.2,5.6,119,2205.6,2344,1016,10.30,928,100.8,17.50,78,718.42
1369,11.5,5.9,119,2297.1,2345,1016,10.30,930,101.1,17.50,78,718.14
1369.5,11.5,5.7,119,2268.2,2364,1017,10.30,933,101.4,17.50,78,718.55
1370,11.6,5.8,119,2279.4,2386,1016,10.30,936,101.7,17.50,78,716.4
1370.5,11.4,5.8,119,2305.8,2415,1015,10.30,938,102,17.50,78,715.96
1371,11.7,6,119,2298.9,2428,1015,10.30,941,102.3,17.50,78,716.58
1371.5,11.1,5.8,119,2265,2434,1014,10.30,944,102.6,17.50,78,715.79
1372,11,6,119,2329.2,2442,1014,10.30,946,103,17.50,78,714.72
1372.5,11.1,6.5,119,2344.7,2447,1014,10.30,949,103.3,17.50,78,714.62
1373,12.2,7.4,119,2405.9,2433,1015,10.30,952,103.6,17.50,78,715.4
1373.5,11.5,7.3,119,2332.8,2437,1015,10.30,954,103.9,17.50,78,716.42
1374,11.6,7.5,119,2377,2436,1015,10.30,957,104.2,17.50,78,714.72
1374.5,13.3,8.1,119,2465.2,2433,1015,10.30,959,104.5,17.50,78,713.66
1375,13.1,8,119,2440.1,2441,1015,10.30,961,104.8,17.50,78,714.49
1375.5,12,7.4,119,2370.3,2441,1015,10.30,964,105.1,17.50,78,715.02
1376,11.5,6.5,119,2253.6,2438,1015,10.30,966,105.4,17.50,78,716.78
1376.5,10.9,6.3,119,2289.8,2444,1015,10.30,969,105.7,17.50,78,713.79
1377,10.2,5.5,119,2187.8,2447,1015,10.30,972,106,17.50,78,714.38
1377.5,9.7,5.4,119,2169.9,2454,1015,10.30,975,106.4,17.50,78,713.82
1378,9.6,5.3,119,2204.7,2462,1014,10.30,978,106.8,17.50,78,715.12
1378.5,9.5,5.2,119,2154.6,2492,1014,10.30,982,107.2,17.50,78,705.56
1379,12.8,6.4,119,2439.1,2518,1015,10.30,984,107.5,17.50,78,697.6
1379.5,13.4,6.7,119,2529,2504,1016,10.30,986,107.7,17.50,78,697.42
1380,13.3,7.2,119,2640.9,2491,1017,10.30,989,108,17.50,78,700.11
1380.5,12.5,7.1,119,2601.9,2489,1018,10.30,991,108.3,17.50,78,701.78
1381,8.3,5.8,119,2321.9,2484,1018,10.40,995,108.8,17.50,78,702.23
1381.5,9.8,5.6,119,2341.6,2481,1018,10.40,998,109.2,17.50,78,702.85
1382,9.8,5.9,119,2383.2,2483,1018,10.40,1001,109.5,17.50,78,703.12
1382.5,11.3,6,119,2372.9,2481,1018,10.40,1004,109.8,17.50,78,701.99
1383,12.8,6.4,119,2457.4,2478,1019,10.40,1006,110.1,17.50,78,700.58
1383.5,12.8,6.2,119,2433.9,2477,1019,10.40,1009,110.4,17.50,78,701.36
1384,12,6.3,119,2377,2484,1019,10.40,1011,110.7,17.50,78,698.63
1384.5,11.3,6.1,119,2374,2481,1019,10.40,1014,111,17.50,78,697.39
1385,10.1,6,119,2345.6,2481,1019,10.40,1017,111.4,17.50,78,694.95
1385.5,10,5.8,119,2321,2484,1018,10.40,1020,111.7,17.50,78,688.75
1386,10.3,6.4,119,2366.5,2490,1017,10.40,1023,112.1,17.50,78,695.82
1386.5,8.2,7.6,120,2220.5,2530,1012,10.40,1027,112.5,17.50,78,693.68
1387,9.3,8.8,121,2262.1,2597,1008,10.40,1030,113,17.50,78,692.1
1387.5,10,9.4,120,2323,2623,1008,10.40,1033,113.3,17.50,78,692.28
1388,11,9.8,120,2337.8,2628,1008,10.40,1036,113.6,17.50,78,692.2
1388.5,11.1,10.2,120,2361.9,2622,1008,10.40,1038,114,17.50,78,689.73
1389,10.7,10.2,120,2331.6,2612,1008,10.40,1041,114.3,17.50,78,687.42
1389.5,10.5,10.4,120,2351.5,2613,1008,10.40,1044,114.6,17.50,78,687.92
1390,9.4,9.9,120,2306.3,2622,1008,10.40,1047,115,17.50,78,687.34
1390.5,9.2,8.7,120,2296.1,2622,1008,10.40,1051,115.4,17.50,78,685.83
1391,10.2,7.3,120,2378.3,2624,1008,10.40,1054,115.8,17.50,78,683.84
1391.5,9.1,6.7,120,2332.4,2623,1008,10.40,1057,116.2,17.50,78,681.45
1392,9,6,120,2246.2,2625,1008,10.40,1060,116.6,17.50,78,678.36
1392.5,9.2,5.9,120,2217.6,2624,1008,10.40,1063,116.9,17.50,78,675.56
1393,8.3,5.8,120,2145.4,2630,1007,10.40,1067,117.4,17.50,78,671.5
1393.5,8.6,5.7,120,2139.1,2637,1007,10.40,1071,117.8,17.50,78,670.78
1394,8.9,6.4,120,2222.4,2641,1007,10.40,1074,118.2,17.50,78,670.97
1394.5,8.4,6.8,120,2285.8,2657,1006,10.40,1078,118.7,17.50,78,670.61
1395,7.2,6.2,120,2168.4,2661,1006,10.40,1082,119.2,17.50,78,669.07
1395.5,5.1,5.3,120,2004.5,2663,1006,10.40,1088,120,17.50,78,668.6
1396,6.4,6.3,120,2098.3,2662,1006,10.40,1093,120.5,17.50,78,670.46
1396.5,7,6.5,120,2169.5,2663,1006,10.40,1098,121.1,17.50,78,673.74
1397,6.5,6,120,2094.5,2663,1006,10.40,1102,121.6,17.50,78,677.18
1397.5,6.8,6.3,120,2073.3,2669,1005,10.40,1106,122.1,17.50,78,678.67
1398,6.8,6.8,120,2068.7,2665,1005,10.40,1111,122.7,17.50,78,680.71
1398.5,7.6,7.7,120,2131.8,2658,1006,10.40,1115,123.1,17.50,78,682.31
1399,7.6,7.9,120,2138,2656,1005,10.40,1119,123.6,17.50,78,681.19
1399.5,8.1,6.4,120,2195.8,2658,1005,10.40,1123,124.1,17.50,78,681.26
1400,7.9,6.8,120,2169.3,2665,1005,10.40,1127,124.5,17.50,78,680.02
1400.5,7.6,7.5,120,2138,2666,1005,10.40,1130,125,17.50,78,679.14
1401,8.1,7.7,120,2111.3,2668,1005,10.40,1134,125.4,17.50,78,679.09
1401.5,9.1,7,120,2233.5,2660,1005,10.40,1137,125.8,17.50,78,679.7
1402,8.9,6.5,120,2234.5,2657,1006,10.40,1141,126.2,17.50,78,678.8
1402.5,9.5,7.3,120,2293.3,2659,1005,10.40,1144,126.6,17.50,78,678.19
1403,8.3,8,120,2228.1,2665,1005,10.40,1148,127.1,17.50,78,677.36
1403.5,8.3,9.1,120,2262.2,2668,1006,10.40,1151,127.5,17.50,78,677.54
1404,8.5,9.5,120,2270.1,2674,1006,10.40,1155,127.9,17.50,78,677.31
1404.5,8.8,9,120,2297.6,2682,1006,10.40,1158,128.3,17.50,78,679.27
1405,9.4,5.9,120,2369.9,2691,1006,10.40,1161,128.7,17.50,78,678.37
1405.5,9.7,5.8,120,2373.1,2698,1005,10.40,1165,129.1,17.50,78,678.32
1406,9.9,8.4,120,2352.2,2695,1005,10.40,1168,129.5,17.50,78,674.19
1406.5,9.6,8,120,2282.8,2696,1006,10.40,1171,129.8,17.50,78,669.75
1407,8.3,6.5,120,2160.9,2722,1008,10.40,1174,130.3,17.50,78,653.72
1407.5,9.3,3.5,120,2157.9,2803,1016,10.40,1178,130.7,17.50,78,649.8
1408,11.5,4.8,119,2237.7,2812,1017,10.40,1180,131,17.50,78,651.28
1408.5,11,5.7,119,2328.1,2812,1018,10.40,1183,131.3,17.50,78,651.99
1409,10.3,4.6,119,2229.4,2808,1018,10.40,1186,131.7,17.50,78,653
1409.5,10,3.7,119,2150.8,2807,1018,10.40,1189,132,17.50,78,656.51
1410,8,2.1,119,1979.2,2806,1018,10.40,1193,132.5,17.50,78,656.77
1410.5,10.6,3.5,119,2161.4,2797,1019,10.40,1196,132.8,17.50,78,657.73
1411,10.7,3.5,119,2184.8,2799,1019,10.40,1199,133.2,17.50,78,659.04
1411.5,10.8,2.4,119,2108.2,2799,1018,10.40,1202,133.5,17.50,78,660.22
1412,8.8,2.2,119,2087.9,2797,1018,10.40,1205,134,17.50,78,660.05
1412.5,10.8,3.2,119,2252.2,2796,1019,10.40,1208,134.3,17.50,78,659.86
1413,11,2.8,119,2209.1,2791,1019,10.40,1211,134.6,17.50,78,659.94
1413.5,10.2,3.4,119,2259.5,2761,1019,10.40,1214,135,17.50,78,660.92
1414,8.8,2.7,119,2217,2740,1020,10.40,1217,135.4,17.50,78,660.74
1414.5,9.1,3.1,119,2274.4,2734,1020,10.40,1221,135.8,17.50,78,661.19
1415,9,2.9,119,2229.7,2738,1020,10.40,1224,136.2,17.50,78,659.74
1415.5,8.9,2.9,119,2229.4,2743,1020,10.40,1227,136.6,17.50,78,659.3
1416,8,2.4,119,2182.5,2746,1020,10.40,1231,137,17.50,78,658.28
1416.5,8.2,2.4,119,2198.4,2743,1020,10.40,1234,137.5,17.50,78,658.12
1417,8.7,2.8,119,2253.2,2744,1020,10.40,1238,137.9,17.50,78,655.92
1417.5,9.6,2.9,119,2279.3,2748,1020,10.40,1241,138.2,17.50,78,653.81
1418,9.1,2.2,119,2234.7,2742,1020,10.40,1245,138.7,17.50,78,651.34
1418.5,7.1,1.3,119,2144.6,2741,1020,10.40,1249,139.2,17.50,78,653.01
1419,10.5,2.6,119,2316.1,2739,1020,10.40,1252,139.6,17.50,78,658.53
1419.5,10.9,3.1,120,2324.2,2745,1020,10.40,1255,139.9,17.50,78,665.25
1420,11.5,3.2,120,2282.6,2759,1019,10.40,1258,140.2,17.50,78,667.66
1420.5,10.7,3.2,120,2066,2786,1019,10.40,1261,140.6,17.50,78,674.68
1421,10.9,3.3,120,2385.2,2811,1018,10.40,1263,140.9,17.50,78,674.91
1421.5,10.9,4.1,120,2487.9,2825,1018,10.40,1266,141.2,17.50,78,678.14
1422,9.7,3.7,119,2375.1,2830,1018,10.40,1269,141.6,17.50,78,679.22
1422.5,10.3,3.7,119,2441.6,2826,1018,10.40,1272,141.9,17.50,78,682.28
1423,10.1,3.6,119,2548.8,2823,1018,10.50,1275,142.3,17.50,78,685.42
1423.5,9.3,3.3,119,2535.4,2822,1018,10.50,1278,142.7,17.50,78,685.5
1424,9.6,3.5,119,2507.2,2821,1018,10.50,1282,143.1,17.50,78,686.66
1424.5,9.3,4,119,2640.2,2821,1018,10.50,1285,143.5,17.50,78,685.82
1425,9,3.7,119,2618.7,2824,1018,10.50,1288,143.9,17.50,78,685.64
1425.5,9.7,3.4,119,2602.7,2819,1018,10.50,1291,144.2,17.50,78,683.74
1426,10,3.9,119,2643.5,2822,1018,10.50,1294,144.6,17.50,78,681.64
1426.5,9.5,4.1,119,2694.3,2819,1018,10.50,1297,145,17.50,78,679.65
1427,10.1,4.2,119,2683.1,2818,1018,10.50,1300,145.3,17.50,78,676.06
1427.5,9.9,3.8,119,2622.6,2816,1018,10.50,1304,145.7,17.50,78,677.06
1428,9.9,3.1,119,2542.8,2801,1018,10.50,1307,146.1,17.50,78,675.43
1428.5,9.3,2.7,119,2493.7,2789,1018,10.50,1310,146.4,17.50,78,675.73
1429,9.3,3,119,2439.7,2774,1018,10.50,1313,146.8,17.50,78,675.35
1429.5,9,3.4,119,2486.5,2776,1018,10.50,1316,147.2,17.50,78,674.66
1430,9.6,4.5,119,2619.1,2780,1018,10.50,1319,147.6,17.50,78,674.38
1430.5,10.6,6.7,119,2688.8,2781,1017,10.50,1322,148,17.50,78,674.15
1431,11.2,7.1,119,2741.2,2786,1018,10.50,1325,148.3,17.50,78,673.6
1431.5,11.1,6.5,119,2624.5,2787,1018,10.50,1328,148.6,17.50,78,673.66
1432,11.9,5.7,119,2546.7,2777,1018,10.50,1330,148.9,17.50,78,672.96
1432.5,11.3,5.2,119,2491.9,2783,1018,10.50,1333,149.2,17.50,78,671.66
1433,10.8,4.8,119,2438.8,2784,1017,10.50,1336,149.5,17.50,78,670.88
1433.5,10.1,4.8,119,2407.3,2787,1018,10.50,1339,149.9,17.50,78,669.85
1434,10,5.3,119,2421.4,2787,1019,10.50,1342,150.3,17.50,78,669.88
1434.5,10.4,5.1,119,2381.1,2790,1018,10.50,1345,150.6,17.50,78,668.95
1435,9,4.7,120,2311.3,2798,1018,10.50,1348,151,17.50,78,666.93
1435.5,8.4,5.4,120,2367.1,2800,1018,10.50,1351,151.4,17.50,78,662.31
1436,7.8,4.9,120,2234.4,2824,1014,10.50,1355,151.9,17.50,78,644.93
1436.5,9.2,5.2,119,2267.5,2864,1006,10.50,1359,152.3,17.50,78,662.26
1437,9.8,6.4,119,2391.1,2869,1004,10.50,1362,152.7,17.50,78,688.46
1437.5,9.7,6,119,2394.1,2842,1005,10.50,1365,153,17.50,78,693.5
1438,9.3,5.5,119,2345.9,2820,1005,10.50,1368,153.5,17.50,78,694.73
1438.5,5.8,5,119,2266.1,2807,1006,10.50,1375,154.2,17.50,78,699.94
1439,8,4.6,119,2234.7,2802,1006,10.50,1378,154.7,17.50,78,701.26
1439.5,9,4.4,119,2252.5,2801,1006,10.50,1382,155.1,17.50,78,702.62
1440,9.3,4.1,119,2262.3,2798,1006,10.50,1385,155.5,17.50,78,702.67
1440.5,9.6,3.5,119,2245.7,2795,1006,10.50,1389,155.9,17.50,78,700.4
1441,9.8,3.3,119,2245.2,2794,1006,10.50,1392,156.2,17.50,78,696.17
1441.5,9.7,3.2,119,2240,2794,1006,10.50,1394,156.6,17.50,78,696.49
1442,9.5,3.4,119,2277.2,2796,1006,10.50,1398,157,17.50,78,692.14
1442.5,8.9,3.3,119,2284.3,2805,1006,10.50,1401,157.4,17.50,78,688.51
1443,9.9,3.6,119,2352.6,2816,1006,10.50,1404,157.7,17.50,78,685.91
1443.5,10.3,3.5,119,2364.1,2820,1006,10.50,1407,158.1,17.50,78,682.05
1444,10.7,3.7,119,2390.3,2821,1006,10.50,1410,158.4,17.50,78,680.92
1444.5,12.1,4.6,120,2539,2827,1005,10.50,1413,158.7,17.50,78,682.53
1445,10.8,4.4,120,2526.6,2820,1006,10.50,1415,159,17.50,78,684.02
1445.5,10.4,3.7,120,2445,2820,1006,10.50,1418,159.4,17.50,78,680.46
1446,10.2,3,120,2422.2,2819,1006,10.50,1421,159.8,17.50,78,679.32
1446.5,11.2,3.3,120,2482.3,2819,1006,10.50,1424,160.1,17.50,78,678.61
1447,11.3,3.1,120,2481.8,2817,1006,10.50,1427,160.4,17.50,78,678.68
1447.5,10.9,3.2,120,2510.6,2822,1005,10.50,1429,160.7,17.50,78,677.59
1448,11.1,3.4,120,2520.3,2828,1005,10.50,1432,161.1,17.50,78,677.54
1448.5,10.9,3.5,120,2524.6,2828,1005,10.50,1435,161.4,17.50,78,675.54
1449,10.8,3.3,120,2504.3,2833,1005,10.50,1438,161.7,17.50,78,675.56
1449.5,10.8,2.9,120,2493.2,2829,1005,10.50,1440,162,17.50,78,674.17
1450,10.7,2.8,120,2494.8,2826,1005,10.50,1443,162.4,17.50,78,674.16
1450.5,10.5,2.8,120,2498.9,2822,1005,10.50,1446,162.7,17.50,78,674.76
1451,10.4,2.5,120,2481.3,2820,1004,10.50,1449,163,17.50,78,675.42
1451.5,10.3,2.5,120,2516,2822,1005,10.50,1452,163.4,17.50,78,675.51
1452,10.8,3,120,2565.2,2819,1005,10.50,1454,163.7,17.50,78,675.45
1452.5,10.5,2.4,120,2533.1,2827,1005,10.50,1457,164.1,17.50,78,676.28
1453,9.9,1.8,120,2417,2821,1005,10.50,1460,164.5,17.50,78,677.19
1453.5,9.7,1.8,120,2394.9,2815,1006,10.50,1463,164.8,17.50,78,676.72
1454,9.7,1.5,120,2431.4,2813,1006,10.50,1467,165.2,17.50,78,677.22
1454.5,9,1.4,120,2437.4,2811,1005,10.50,1470,165.6,17.50,78,676.96
1455,8.6,1.1,120,2402.6,2817,1004,10.50,1474,166,17.50,78,676.72
1455.5,8.6,1,120,2390.9,2819,1005,10.50,1477,166.4,17.50,78,676.4
1456,8.2,1.1,120,2399.1,2813,1005,10.50,1481,166.9,17.50,78,675.11
1456.5,8.3,1.7,120,2460,2808,1005,10.50,1484,167.3,17.50,78,674.32
1457,8.9,1.6,120,2483.2,2799,1006,10.50,1487,167.7,17.50,78,674.67
1457.5,9.4,2,120,2549.9,2799,1006,10.50,1491,168.1,17.50,78,674.32
1458,9.2,1.8,120,2536.3,2794,1006,10.50,1494,168.5,17.50,78,674.74
1458.5,9.2,1.3,120,2513.4,2793,1006,10.50,1497,168.9,17.50,78,673.21
1459,9.9,1.3,120,2551.5,2779,1006,10.50,1500,169.2,17.50,78,673.08
1459.5,8.6,1,120,2489,2763,1007,10.50,1504,169.7,17.50,78,672.45
1460,9.5,1.1,120,2521.2,2753,1007,10.50,1507,170,17.50,78,671.33
1460.5,9.4,0.6,120,2446.5,2753,1007,10.50,1510,170.4,17.50,78,670.35
1461,9,0.6,120,2441.2,2754,1007,10.50,1514,170.8,17.50,78,669.04
1461.5,10,1.1,120,2516.6,2753,1007,10.50,1517,171.2,17.50,78,668.47
1462,10.8,1.5,120,2558.4,2755,1007,10.50,1520,171.5,17.50,78,666.84
1462.5,11.1,1.3,120,2555.1,2756,1007,10.50,1522,171.8,17.50,78,665.92
1463,11.1,1,120,2529.9,2757,1007,10.50,1525,172.1,17.50,78,664.94
1463.5,10.8,1.1,120,2544.2,2758,1007,10.50,1528,172.5,17.50,78,664.13
1464,10,1.5,119,2528.6,2772,1007,10.50,1531,172.8,17.50,78,660.99
1464.5,7.9,2.8,119,2428.5,2806,1009,10.50,1535,173.4,17.50,78,648.58
1465,6,3.7,119,2459.2,2811,1012,10.50,1541,174.1,17.50,78,647.74
1465.5,10,3.9,118,2510.8,2793,1013,10.50,1544,174.5,17.50,78,649.21
1466,10.5,3.8,118,2520.5,2791,1013,10.50,1547,174.8,17.50,78,649.8
1466.5,7.8,3.6,118,2486.6,2803,1013,10.50,1551,175.3,17.50,78,652.64
1467,9.1,3.2,119,2458,2806,1013,10.50,1555,175.7,17.50,78,654.12
1467.5,9.4,3.2,119,2460.6,2808,1013,10.50,1558,176,17.50,78,654.95
1468,10.4,3.3,119,2533.1,2811,1013,10.50,1561,176.4,17.50,78,654.8
1468.5,9.9,3.5,119,2553.5,2818,1013,10.50,1564,176.8,17.50,78,654.98
1469,8.5,3.8,119,2549.7,2824,1013,10.50,1567,177.2,17.50,78,657.11
1469.5,8.8,3,118,2567.7,2850,1012,10.50,1571,177.6,17.50,78,662.45
1470,9,2.7,118,2525.7,2871,1012,10.50,1574,178,17.50,78,676.54
1470.5,9.1,2.9,118,2543.5,2871,1011,10.50,1577,178.4,17.50,78,706.28
1471,9,3.3,118,2586.1,2820,1012,10.50,1581,178.8,17.50,78,710.43
1471.5,8.7,2.9,118,2570,2882,1011,10.50,1584,179.2,17.50,78,707.02
1472,9.6,3.2,118,2582.9,2905,1010,10.50,1587,179.6,17.50,78,688.11
1472.5,10,3.4,118,2597.4,2916,1009,10.50,1590,179.9,17.50,78,667.82
1473,10,3.3,118,2586.2,2899,1010,10.50,1593,180.3,17.50,78,660.15
1473.5,9.9,3.3,118,2586.5,2886,1011,10.50,1596,180.6,17.50,78,659.1
1474,10.1,3.5,118,2642.2,2888,1011,10.50,1599,181,17.50,78,658.27
1474.5,10.4,3.5,118,2660.8,2922,1010,10.50,1602,181.3,17.50,78,655.32
1475,10.5,3.4,118,2657.4,2944,1009,10.50,1605,181.7,17.50,78,654.42
1475.5,10.4,3.5,119,2666.1,2947,1009,10.50,1608,182,17.50,78,652.66
1476,10.8,3.7,118,2668.4,2954,1009,10.50,1610,182.3,17.50,78,652.8
1476.5,11,3.8,118,2680.6,2951,1009,10.50,1613,182.6,17.50,78,652.28
1477,11,3.3,118,2626.5,2947,1008,10.50,1616,183,17.50,78,651.56
1477.5,10.9,2.7,118,2546.2,2947,1009,10.50,1619,183.3,17.50,78,651.95
1478,10.9,3.2,119,2482.4,2948,1010,10.50,1622,183.6,17.50,78,653.65
1478.5,10.7,3.4,118,2458.2,2946,1010,10.50,1624,183.9,17.50,78,654.35
1479,10.5,3,119,2447.7,2948,1010,10.50,1627,184.3,17.50,78,654.68
1479.5,10.2,3.3,118,2475.4,2950,1010,10.50,1630,184.6,17.50,78,654.29
1480,9.7,3.1,118,2409.4,2946,1010,10.50,1633,185,17.50,78,653.21
1480.5,10.2,3.1,118,2409.2,2935,1010,10.50,1636,185.4,17.50,78,650.44
1481,9.8,2.9,118,2389.3,2905,1010,10.50,1639,185.7,17.50,78,649.81
1481.5,9.5,2.6,118,2367.1,2872,1011,10.50,1643,186.1,17.50,78,647.31
1482,9.4,2.2,118,2356,2864,1011,10.50,1646,186.5,17.50,78,643.04
1482.5,9.2,2.3,118,2334.1,2828,1012,10.50,1649,186.9,17.50,78,638.25
1483,9.1,2.9,118,2307.5,2788,1012,10.50,1652,187.2,17.50,78,636.34
1483.5,8.9,2.9,118,2300.3,2741,1013,10.50,1656,187.7,17.50,78,634.44
1484,8.6,3.7,118,2320.1,2720,1014,10.50,1659,188.1,17.50,78,631.14
1484.5,8.4,4.1,118,2472.5,2708,1014,10.50,1663,188.5,17.50,78,632.47
1485,9.5,4.1,118,2575.6,2695,1014,10.50,1666,188.9,17.50,78,636.69
1485.5,9.7,3.7,118,2577.4,2696,1015,10.50,1669,189.2,17.50,78,636.69
1486,9.8,3.2,118,2549.8,2696,1014,10.50,1672,189.6,17.50,78,635.65
1486.5,10.9,3.3,118,2685.4,2710,1014,10.50,1675,189.9,17.50,78,635.07
1487,10.5,4.3,118,2695.4,2728,1014,10.50,1678,190.3,17.50,78,636.01
1487.5,10.2,4.4,118,2685.4,2754,1013,10.50,1681,190.6,17.50,78,635.87
1488,10,4.2,118,2675.5,2769,1013,10.50,1683,190.9,17.50,78,636.82
1488.5,10.5,4.7,118,2717.3,2787,1012,10.50,1687,191.3,17.50,78,639.15
1489,10.4,4.7,118,2728.8,2808,1012,10.50,1689,191.6,17.50,78,639.7
1489.5,8.8,3.7,118,2589.1,2817,1011,10.50,1693,192.1,17.50,78,638.94
1490,9.2,3.6,118,2601.6,2822,1012,10.50,1696,192.5,17.50,78,639.27
1490.5,9.3,3.6,118,2613.4,2814,1012,10.50,1699,192.8,17.50,78,638.56
1491,9.2,3.4,118,2613,2794,1013,10.50,1703,193.2,17.50,78,639.45
1491.5,9.3,3.6,118,2645.6,2795,1013,10.50,1706,193.6,17.50,78,637.43
1492,9.2,3.8,118,2637.2,2810,1013,10.50,1709,194,17.50,78,632.36
1492.5,8.3,4.2,118,2515.7,2817,1013,10.50,1713,194.4,17.50,78,618.79
1493,10,6,119,2579.6,2827,1015,10.50,1716,194.8,17.50,78,613.89
1493.5,11.3,7.2,119,2704.9,2831,1015,10.50,1719,195.1,17.50,78,614.14
1494,11.9,7.6,119,2807,2821,1016,10.50,1721,195.4,17.50,78,615.52
1494.5,10,7.1,119,2699.8,2809,1016,10.50,1724,195.8,17.50,78,620.49
1495,8.7,5.8,119,2537.8,2792,1016,10.50,1728,196.2,17.50,78,643.48
1495.5,11.1,6.4,119,2608.8,2779,1016,10.50,1731,196.6,17.50,78,657.56
1496,10.4,6,119,2507.2,2763,1015,10.50,1734,196.9,17.50,78,659.3
1496.5,7.6,4.7,119,2341.6,2760,1016,10.50,1738,197.4,17.50,78,659.98
1497,8.9,4.8,119,2430.4,2769,1017,10.50,1741,197.8,17.50,78,659.43
1497.5,9.3,5.1,119,2475.5,2780,1016,10.50,1744,198.2,17.50,78,659.29
1498,10.7,6,119,2644.1,2783,1016,10.50,1747,198.5,17.50,78,660.27
1498.5,11.8,6.9,119,2743.2,2789,1016,10.50,1750,198.8,17.50,78,661.54
1499,12.3,7.3,119,2789.1,2793,1016,10.50,1752,199.1,17.50,78,663.46
1499.5,10.9,6.9,119,2723.6,2794,1016,10.50,1755,199.5,17.50,78,663.44
1500,10.8,6.4,119,2731.5,2799,1015,10.50,1758,199.8,17.50,78,663.21
1500.5,10.7,5.7,119,2700.8,2810,1016,10.50,1761,200.1,17.50,78,663.2
1501,11,5.7,119,2704,2818,1016,10.50,1763,200.4,17.50,78,663.63
1501.5,11.3,6.4,119,2766.4,2820,1016,10.50,1766,200.8,17.50,78,664.81
1502,11.3,6.3,119,2780.8,2826,1016,10.50,1768,201.1,17.50,78,665.24
1502.5,10.6,5.9,119,2709.8,2821,1016,10.50,1772,201.4,17.50,78,665.17
1503,9.1,5,119,2584.6,2828,1016,10.50,1775,201.8,17.50,78,664.11
1503.5,9.7,4.9,119,2590.9,2833,1016,10.50,1778,202.2,17.50,78,663.96
1504,9.1,4.2,119,2561.6,2839,1016,10.50,1781,202.6,17.50,78,663.9
1504.5,8.3,3.9,119,2534.2,2843,1015,10.50,1785,203.1,17.50,78,661.82
1505,4.9,2.6,119,2331.1,2845,1015,10.50,1793,204,17.50,78,658.09
1505.5,7.5,3.8,119,2512.9,2845,1015,10.50,1798,204.6,17.50,78,656.33
1506,10.6,5.2,119,2712.2,2856,1015,10.50,1801,204.9,17.50,78,652.45
