Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1241.5,14.2,2.6,100,2136,2520,1026,10.30,197,14.4,17.50,78,716.17
1242,14,3,100,2168.7,2491,1025,10.30,200,14.6,17.50,78,713.47
1242.5,14.8,3.4,100,2189.7,2456,1024,10.30,202,14.8,17.50,78,712.71
1243,14.9,3.8,100,2272.1,2427,1024,10.30,204,15,17.50,78,717.41
1243.5,15.6,4,100,2326.6,2422,1023,10.30,206,15.2,17.50,78,716.92
1244,14.6,3.7,100,2278.8,2408,1023,10.30,208,15.4,17.50,78,714.09
1244.5,13.9,3.2,100,2226.3,2401,1023,10.30,210,15.6,17.50,78,715.12
1245,14.7,3,100,2236.8,2411,1023,10.30,212,15.8,17.50,78,716.85
1245.5,14.2,2.6,100,2183.8,2418,1023,10.30,214,16.1,17.50,78,720.85
1246,14.6,2.5,100,2202,2425,1023,10.30,216,16.3,17.50,78,722.21
1246.5,15.4,2.5,100,2223,2440,1024,10.30,218,16.5,17.50,78,723.83
1247,15.6,2.2,100,2185,2457,1024,10.30,220,16.6,17.50,78,722.56
1247.5,15.3,2,100,2149.4,2492,1025,10.30,222,16.8,17.50,78,720.79
1248,14.4,1.9,100,2129.2,2524,1026,10.30,224,17.1,17.50,78,716.01
1248.5,15,2.3,100,2170.7,2527,1026,10.30,226,17.3,17.50,78,712.19
1249,14.3,2.8,100,2195.9,2518,1026,10.30,228,17.5,17.50,78,709.66
1249.5,14.1,3.4,100,2316.5,2505,1026,10.30,230,17.7,17.50,78,707.63
1250,15.2,3.7,100,2376.8,2498,1026,10.30,232,17.9,17.50,78,709.24
1250.5,15,3,100,2240.9,2473,1025,10.30,234,18.1,17.50,78,710.86
1251,15.6,2.8,100,2211.9,2480,1025,10.30,236,18.3,17.50,78,711.39
